Year,imdb,Title,clean_test,binary,budget,domgross,intgross,,
2012,tt2094064,Much Ado About Nothing,Dubious,FAIL,8000000,22549338,22549338,,
2012,tt1623288,ParaNorman,No Talking between Women,FAIL,60000000,56003051,108159011,,
2012,tt1234719,Red Dawn,No Talking between Women,FAIL,65000000,44806783,48164150,,
2012,tt0485985,Red Tails,Conversation About Men Only,FAIL,58000000,49876377,50365498,,
2012,tt1446192,Rise of the Guardians,No Talking between Women,FAIL,145000000,103412758,306900902,,
2012,tt1656190,Safe,No Talking between Women,FAIL,33000000,17142080,41495213,,
2012,tt1931533,Seven Psychopaths,No Talking between Women,FAIL,13500000,15024049,23492318,,
2012,tt1922777,Sinister,Conversation About Men Only,FAIL,3000000,48086903,87727807,,
2012,tt1074638,Skyfall,Dubious,FAIL,200000000,304360277,1108694081,,
2012,tt1874789,Supporting Characters,Conversation About Men Only,FAIL,60000,4917,4917,,
2012,tt1637725,Ted,Conversation About Men Only,FAIL,50000000,218665740,549444574,,
2012,tt1232200,That&#39;s My Boy,No Talking between Women,FAIL,67500000,36931089,58058367,,
2012,tt0948470,The Amazing Spider-Man,Conversation About Men Only,FAIL,220000000,262030663,757890267,,
2012,tt0848228,The Avengers,No Talking between Women,FAIL,60000000,23385416,48585416,,
2012,tt1345836,The Dark Knight Rises,No Talking between Women,FAIL,275000000,448139099,1079343943,,
2012,tt1645170,The Dictator,No Talking between Women,FAIL,65000000,59650222,179379532,,
2012,tt1601913,The Grey,Less than Two Women,FAIL,25000000,51580136,84339696,,
2012,tt0903624,The Hobbit: An Unexpected Journey,Less than Two Women,FAIL,250000000,303003568,1014703568,,
2012,tt1649419,The Impossible,Conversation About Men Only,FAIL,40000000,19019882,169590606,,
2012,tt1258972,The Man with the Iron Fists,No Talking between Women,FAIL,15000000,15634090,21985095,,
2012,tt1560747,The Master,No Talking between Women,FAIL,37500000,16247159,25116740,,
2012,tt1430626,The Pirates! Band of Misfits,No Talking between Women,FAIL,55000000,31051126,123056220,,
2012,tt1817273,The Place Beyond the Pines,No Talking between Women,FAIL,15000000,21403519,47011449,,
2012,tt1673434,The Twilight Saga: Breaking Dawn - Part 2,Dubious,FAIL,136200000,292324737,832660037,,
2012,tt1298649,The Watch,Conversation About Men Only,FAIL,55000000,34353000,67353000,,
2012,tt1596365,The Woman in Black,No Talking between Women,FAIL,15000000,54333290,128955898,,
2012,tt1840417,The Words,No Talking between Women,FAIL,6000000,11494838,12132578,,
2012,tt1859650,To Rome With Love,Conversation About Men Only,FAIL,21500000,16684352,74363777,,
2012,tt1386703,Total Recall,No Talking between Women,FAIL,125000000,58877969,198615996,,
2012,tt1646987,Wrath of the Titans,No Talking between Women,FAIL,150000000,83670083,301970083,,
2011,tt1622547,30 Minutes or Less,No Talking between Women,FAIL,28000000,37053924,40966716,,
2011,tt1306980,50/50,Conversation About Men Only,FAIL,8000000,35016118,41334735,,
2011,tt1571222,A Dangerous Method,Dubious,FAIL,20000000,5702083,14807531,,
2011,tt1268799,A Very Harold &amp; Kumar 3D Christmas,No Talking between Women,FAIL,20000000,35061031,36265745,,
2011,tt1772240,Apollo 18,Less than Two Women,FAIL,5000000,17686929,26517819,,
2011,tt1430607,Arthur Christmas,No Talking between Women,FAIL,85000000,46462469,147624649,,
2011,tt1217613,Battle: Los Angeles,No Talking between Women,FAIL,70000000,83552429,212005201,,
2011,tt1152398,Beastly,No Talking between Women,FAIL,17000000,27865571,38028230,,
2011,tt1629705,Blackthorn,No Talking between Women,FAIL,4500000,200558,1249765,,
2011,tt0458339,Captain America: The First Avenger,No Talking between Women,FAIL,140000000,176654505,370569776,,
2011,tt1216475,Cars 2,Conversation About Men Only,FAIL,200000000,191450875,560155383,,
2011,tt1657507,Colombiana,No Talking between Women,FAIL,40000000,36665854,71698079,,
2011,tt0816462,Conan the Barbarian,Dubious,FAIL,20000000,38264085,79114085,,
2011,tt1372686,Coriolanus,Conversation About Men Only,FAIL,10000000,749641,1049641,,
2011,tt0409847,Cowboys &amp; Aliens,No Talking between Women,FAIL,163000000,100240551,175910315,,
2011,tt1650043,Diary of a Wimpy Kid: Rodrick Rules,No Talking between Women,FAIL,18000000,52698535,73695194,,
2011,tt1564349,Dolphin Tale,Conversation About Men Only,FAIL,37000000,72286779,96068724,,
2011,tt0780504,Drive,Dubious,FAIL,15000000,35060689,78054825,,
2011,tt1622979,Final Destination 5,Conversation About Men Only,FAIL,40000000,42587643,157887643,,
2011,tt1438176,Fright Night,Dubious,FAIL,30000000,18298649,40520649,,
2011,tt1133985,Green Lantern,No Talking between Women,FAIL,200000000,116601172,231201172,,
2011,tt0480687,Hall Pass,Conversation About Men Only,FAIL,36000000,45060734,83693266,,
2011,tt1201607,Harry Potter and the Deathly Hallows: Part 2,No Talking between Women,FAIL,125000000,381011219,1328111219,,
2011,tt1506999,Haywire,Less than Two Women,FAIL,23000000,18942396,22176190,,
2011,tt1403177,Hesher,No Talking between Women,FAIL,7000000,382946,382946,,
2011,tt1640459,Hobo with a Shotgun,Less than Two Women,FAIL,3000000,703372,834953,,
2011,tt1411704,Hop,Conversation About Men Only,FAIL,63000000,108085305,184924333,,
2011,tt0970179,Hugo,Dubious,FAIL,180000000,73864507,185033215,,
2011,tt1464540,I Am Number Four,No Talking between Women,FAIL,50000000,55100437,145982797,,
2011,tt1253864,Immortals,Conversation About Men Only,FAIL,75000000,83504017,211562435,,
2011,tt1637688,In Time,No Talking between Women,FAIL,35000000,37553932,170064664,,
2011,tt1634122,Johnny English Reborn,Dubious,FAIL,45000000,8305970,164539660,,
2011,tt1564367,Just Go with It,Dubious,FAIL,80000000,103028109,214974953,,
2011,tt1788391,Kill List,Dubious,FAIL,800000,29063,462206,,
2011,tt1448755,Killer Elite,Less than Two Women,FAIL,70000000,25124986,57777106,,
2011,tt1508675,Le Havre,Dubious,FAIL,5500000,611709,13480196,,
2011,tt1219289,Limitless,No Talking between Women,FAIL,27000000,79249455,169739455,,
2011,tt1615147,Margin Call,No Talking between Women,FAIL,3400000,5353586,17872206,,
2011,tt1305591,Mars Needs Moms,Dubious,FAIL,150000000,21392758,39549758,,
2011,tt1229238,Mission: Impossible - Ghost Protocol,No Talking between Women,FAIL,145000000,209397903,694713230,,
2011,tt1210166,Moneyball,No Talking between Women,FAIL,50000000,75605492,111174374,,
2011,tt1396218,Mr. Popper&#39;s Penguins,No Talking between Women,FAIL,55000000,68224452,189624452,,
2011,tt1298650,Pirates of the Caribbean: On Stranger Tides,No Talking between Women,FAIL,250000000,241063875,1043663875,,
2011,tt0822847,Priest,No Talking between Women,FAIL,60000000,29136626,84154026,,
2011,tt0448694,Puss in Boots,No Talking between Women,FAIL,130000000,149260504,554987477,,
2011,tt1192628,Rango,No Talking between Women,FAIL,135000000,123257581,245504574,,
2011,tt0433035,Real Steel,No Talking between Women,FAIL,110000000,85463309,293237309,,
2011,tt1436562,Rio,No Talking between Women,FAIL,90000000,143619809,487519809,,
